+====================+===================+=====================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                 |
+====================+===================+=====================================================+
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][7]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][1]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][4]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][5]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[3][7]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[3][6]/D      |
| clk_out2_pll       | clk_out1_pll      | student_top_inst/bridge_inst/mmio_rdata_q_reg[15]/D |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][5]/D      |
| clk_out2_pll       | clk_out1_pll      | student_top_inst/bridge_inst/mmio_rdata_q_reg[10]/D |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][6]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][3]/D      |
| clk_out2_pll       | clk_out1_pll      | student_top_inst/bridge_inst/mmio_rdata_q_reg[13]/D |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][4]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][1]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][4]/D      |
| clk_out2_pll       | clk_out1_pll      | student_top_inst/bridge_inst/mmio_rdata_q_reg[30]/D |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][0]/D      |
| clk_out2_pll       | clk_out1_pll      | student_top_inst/bridge_inst/mmio_rdata_q_reg[11]/D |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][2]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[3][1]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][2]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[3][2]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[0][6]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[3][0]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][5]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][7]/D      |
| clk_out2_pll       | clk_out1_pll      | student_top_inst/bridge_inst/mmio_rdata_q_reg[18]/D |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][0]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][3]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[2][0]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][2]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][6]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][4]/D      |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[4][3]/D      |
+--------------------+-------------------+-----------------------------------------------------+
